English,Reference_Hindi,Predicted_Hindi
Air Chief Marshal Mehra was honoured by the nation with a Padma Vibhushan in 1977 for his service to the Indian Force.,भारतीय सेना के प्रति सेवा के लिए एयर चीफ मार्शल मेहरा को 1977 में पद्म विभूषण से सम्मानित किया गया।,भारतीय सेना के प्रति महिला विश्वविद्यालय को अपने कर्म के बारे में उल्लेख करके आज जनमंड़ल में एक पदमा विश्वभूषण पुरस्कार प्रदान किया गया।
Organisation of village panchayats; separation of judiciary from executive;,कार्यपालिका से न्यायपालिका को अलग करना;,ग्राम पंच समिति का संगठन; अधिकारी-सेवकों के बीच न्यायाधिकरण;
"Please accept, Excellency, my best wishes for success in the discharge of your high responsibilities as well as your personal health and well being”.","महामान्या, कृपया अपने महत्त्वपूर्ण दायित्वों के निर्वाह में सफलता के लिए तथा आपके व्यक्तिगत स्वास्थ्य और कुशलता के लिए मेरी शुभकामनाएं स्वीकार करें।’’",अपने बड़ी प्रावधानों का भर्ती करने और आत्मिक स्वास्थ्य और सुख के लिए मैं अपने सबसे शक़्याम धन्यवाद दें।
The First World War was wearing out the British Government.,पहले महायुद्ध ने बरतानिया हुकूमत की नाक में दम कर रखा था। ,यहां प्रथम वॉल्डवेस्ट युद्ध ब्रिटिश सरकार को अपशील होने में जा चुका था।
bit easier in my head.,याद रखना के लिए. ,मेरी आत्मा को बिट अनुकूल हो जाना।
Contacts,संपर्क,संपर्क
"Speaking on the occasion, the President said that the need of the hour is for a much greater convergence of all stakeholders towards the common goal of an improved healthcare delivery system.","इस अवसर पर बोलते हुए, राष्ट्रपति ने कहा कि आज इस बात की जरूरत है कि सभी स्टेकधारक बेहतर स्वास्थ्य सेवा सुपुर्दगी प्रणाली के साझे लक्ष्य की प्राप्ति के लिए अधिक बेहतर तालमेल करें।",इस अवसर पर राष्ट्रपति कहा कि आज हमें सबसे बड़ी तुलना की जरूरत है और एक उचित देशवासी नियंत्रण प्रणाली को प्राप्त करने के लिए।
"Wants to make it a campaign that is military, diplomatic and humanitarian.","इसे सामरिक, कूटनीतिक और मानवीय अभियान बनाना चाहते हैं. ","यह को सेना, अंतर्राष्ट्रीय और मनुष्यविद्यमान प्रेरणा की है।"
Pachyonychia,"स्थूलनखता, उँगलियों के नाखुनों का असाधारण रूप से मोटा होना",पाचयोनिका
"The Benami Transaction (Prohibition) Act, 1988","बेनामी लेनदेन (निषेध) अधिनियम, 1988","बेनामी परिवहन (अधिसूचना) अधिनियम, 1988"
Proxy:,प्रॉक्सीः,प्रोक्सीरः
"Did He not find you in want, and make you free from want?",और तुमको तंगदस्त देखकर ग़नी कर दिया,क्या उसने तुम्हें अपनी बारगाह में पहुँचाने के लिए और आज तुम्हें भी इसके बदले में दिखाई होगा
Metopion,ललाटबिन्दु,मेटोपियन
"Do read us the Ramayana, Rabi dear, the proud mother would coax.","गर्वीली मां उससे खुशामद किया करती, बेटे रवि जरा हमें तो पढ़कर सुना दे। ","रबी, अपने माँ को सुनो हैं, उसका प्रियतम है।"
Muscular System,"पेशी-जाल, पेशी-तंत्र",गठकारी सिस्टम
Allan Border,एलन बौर्डर,अलांना बर्टर
Bank of Maharashtra celebrated 68th Independence Day,ऑफ महाराष्ट्र ने 68 वां स्वतंत्रता दिवस मनाया,महाराष्ट्र बैंक ने 68वीं अधिकारीय दिवस का प्रदर्शन किया
"But we saved him and his family, except his wife: she was of those who legged behind.","फिर हमने उसे और उसके लोगों को छुटकारा दिया, सिवाय उसकी स्त्री के कि वह पीछे रह जानेवालों में से थी",लेकिन हमने उसकी परवरत को भी साफ कर दिया और अपने पुत्रों को भी।
tamarind,अम्लिका,टामरिड
misdeed,करतूत,अपराध
"In it for them is all that they may desire, and with Us is more than it.",इसमें ये लोग जो चाहेंगे उनके लिए हाज़िर है और हमारे यहॉ तो इससे भी ज्यादा है,उनके पास हम कुछ भी नहीं देखते हैं और हमारे पास उनके लिए बड़ा होगा
And to Us belong the End and the Beginning.,और वास्तव में हमारे अधिकार में है आख़िरत और दुनिया भी,और हमारे पास सीधा और अन्दर कोई भी नहीं
And the reward of the Hereafter is better for those who believed and were fearing Allah.,और जो लोग ईमान लाए और परहेज़गारी करते रहे उनके लिए आख़िरत का अज्र उसी से कही बेहतर है,और अगले दिनों की प्रति उन लोगों का हमारे पास बेहतर है
Announce thou to the hypocrites that theirs shall be a torment afflictive.,मुनाफ़िको (कपटाचारियों) को मंगल-सूचना दे दो कि उनके लिए दुखद यातना है; ,अतः उन्हें बोलो कि इसकी परिणामस्वरूप हमने उनके साथ एक दुख-विषयी निरंतरता का आह्वान किया
And Allah would turn to you in mercy; but those who follow vain desires would have you go tremendously astray.,और ख़ुदा तो चाहता है कि तुम्हारी तौबा क़ुबूल,"और अल्लाह तुम्हें आपसे ही रोज़गार करता है। बेशक जिन लोगों ने गुनाहों को चख डाला है, उन्हें तुम्हें बहुत-बहुत दूर फिर से खुदायी में"
"after this, india became a republic on 26 January 1950",तदुपरान्त २६ जनवरी १९५० को भारत एक गणराज्य बना। ,इसके बाद भारत एक संविधानी शासन कर्तृत्व का प्रधानमंडल बन गया
"Whatever you have been given are the wares of the life of this world, but what is with Allah is better and more lasting for those who have faith and who put their trust in their Lord","तुम्हें जो चीज़ भी मिली है वह तो सांसारिक जीवन की अस्थायी सुख-सामग्री है। किन्तु जो कुछ अल्लाह के पास है वह उत्तम है और शेष रहनेवाला भी, वह उन्ही के लिए है जो ईमान लाए और अपने रब पर भरोसा रखते है; ",और जो कुछ तुम्हें पहले से दिया गया है वह इस बारे में लगभग आज़मीन की अवधि की भूखों में उपस्थित होता है और जो कुछ ख़ुदा की निशानियाँ बना�
"When the sky is rent apart,",जबकि आकाश फट जाएगा,जब कभी अपने पास होगा
"And seek God 's forgiveness, for God is surely forgiving and kind.",और (अपनी उम्मत के लिये) ख़ुदा से मग़फ़िरत की दुआ मॉगों बेशक ख़ुदा बड़ा बख्शने वाला मेहरबान है,और अल्लाह की प्रति बेशक इस तरह सुबूढ़ा होगा
Although difference of opinion still continue because there are several other 7500 years old cities found on the western coast of Gujarat.,यद्यपि अभी मतभेद जारी है क्योंकि गुजरात के पश्चिमी तट पर कई अन्य ७५०० वर्ष पुराने शहर भी मिल चुके हैं। ,अन्य कई 7500 वर्ष पूर्ण सदी में जमा हुए शहरों के बारे में भी आलोचना चलती हैं।
CHIDIST (number; degrees _ freedom),CHIDIST (संख्या; डिग्री _ फ़्रीडम) ,चीडिस्ट (_ f)
Zip Drive,ज़िप ड्राइव,जीप ड्राइव
All of us have been talking for a long time about making environmental protection a people 's movement.,लंबे समय से हम लोग पर्यावरण संरक्षण को एक जन आंदोलन बनाने की बात कर रहे हैं। ,हम सभी लोगों के पास बहुत अधिक समय तक एवरेटिव न्यूजीपोलीक्चर को आदमी का मंचन करने के बारे में बात कर रहे हैं।
"We revealed to you the Scripture only to clarify for them what they differ about, and guidance and mercy for people who believe.",हमने यह किताब तुमपर इसीलिए अवतरित की है कि जिसमें वे विभेद कर रहे है उसे तुम उनपर स्पष्टा कर दो और यह मार्गदर्शन और दयालुता है उन लोगों के लिए जो ईमान लाएँ,हमने तुझसे क़ाबिलान को प्रकाश कर दिया है जिससे उन्हें बेहतरीन संदेह और अच्छा रहस्य दिखाएगा जो इनकार करते है
CERTAIN REMAINING PROVISIONS OF ALLIED ACTS REFERRED TO IN WEALTH-TAX ACT,धन-कर अधिनियम में उल्लिखित सहबद्ध अधिनियमों के कुछ शेष उपबंध,वित्त-कर अधिनियम में संबंधित पूर्वी कारोबार के बहुप्रतीक का उल्लेख
"And then e), x squared plus 1.","और फिर ई), एक्स चुकता प्लस 1। ","और फिर, x के बाद से प्लस 1."
"Use 'all - files' to view all the files in the archive in a single list, use 'as - folder' to navigate the archive as a folder.","'all-files' का उपयोग सभी फ़ाइल को देखने के लिए करें एक अभिलेख में एक एकल सूची में, 'as-folder' को बतौर फोल्डर संचरित करने के लिए उपयोग करें. ","अनुसरण करें ‘अल्ली-फ़ाइल्स’ फोल्डर में सभी फाइल्स प्रतिस्पर्धा करें, और ‘असी-फोल्डर’ फोल्डर के रूप में अंतर्जाल करें."
Odds of having another molar pregnancy are around 1 to 2 per cent.,दूसरे मोलर गर्भधारण होने की संभावना 1 से 2 प्रतिशत तक रहती है। ,दूसरे मल्टीपल प्रेसिडेन्सी को होने का अंक लगाए जाते हैं 1-2 प्रतिशत।
Preset Collection,लेंस सुधार,प्रस्तुति संग्रह
& Edit,संपादन (E) ,संपादित करें (E)
M.R. Raghava Varier spoke on Edassery Govindam Nair on 25 November 2007. at Calicut.,महीप सिंह ने 13 नवंबर 2007 को नई दिल्ली में जगदीश चतुर्वेदी पर बात की।,"मैर राघव वारी ने 25 नवंबर, 2007 को एडेडसरी गोविंदम नायर पर बातचीत की।"
Another revolutionary 'action' which took place a few months earlier also deserves notice.,"एक और क्रांतिकारी कार्यवाही भी, जो कुद महीनों पहले की गई थी, घ्यानाकर्षक है. ",अन्य एक आंदोलन का भी बातें देखिए।
Orders have been issued to the employees trained in Hindi to do their work in Hindi only.,हिन्दीा में प्रशिक्षण प्राप्तं कर्मचारियों को अपना कार्य केवल हिन्दीर में करने के लिए आदेश जारी किए गए हैं। ,हिन्दी में अभिलेखित करने पर आपको कार्य करना है।
It is no use giving. any credit to any of the Sindhi writers of Persian or to attach any trustworthiness to the eulogistic and encomiastic notices of mediocrities in their narratives.,फ़ारसी में लिखने वाले किसी भी सिंधी लेखक की प्रशंसा करना व्यर्थ है। ,इसका कोई प्रयत्न नहीं है।
"Had they been spoken out of a reckless desperation, in her struggle for survival, or was it I who failed to understand its real purport?","जिंदा हरने के लिए जिस किसी भी तरह का अर्ज था, या कि समझने में मैंने भूल की थी। ",यदि उन्हें कोई बाती है जिसके प्रयत्न में अपराधीत दुख से भी आगे चला गया था या मैं इसकी वाक़ीकी में लगभग अच्छा ठहरा था?
"Had We sent down this Qur 'an upon a mountain, thou wouldst surely have seen it humbling itself and cleaving in sunder for fear of Allah. Such similitudes We propound Unto mankind that haply they may reflect.",अगर हम इस क़ुरान को किसी पहाड़ पर (भी) नाज़िल करते तो तुम उसको देखते कि ख़ुदा के डर से झुका और फटा जाता है ये मिसालें हम लोगों (के समझाने) के लिए बयान करते हैं ताकि वह ग़ौर करें,और यदि हमने किसी पहाड़ी पर इसका अंग्रेजी सूची दे रखते हो तो उस पहाड़ी को बेहलने और विलाश करने के लिए आप ने खुशी होगी
Ghulam,ग़ुलाम,ग़लाम
"Also, get the soil - examination done and give the doses of fertilizers accordingly.","और, मिट्टी का भी परिक्षण करायें तथा यथानुसार खाद की खुराक दें। ","इसके अलावा, कृषि-परीक्षण करें और फिटनशियों के द्रव्यों को आधारभूत रूप से प्रदान करें।"
Make channels grouped under this channel visible,सरणि दिखाई इस सरणि के तहत समूहीकृत करें,इस कनेक्टर पर संलग्न होने वाली कनेक्टिंग दृश्य मुक़ाबल करें
Moon and lovers go together in all times and climates.,चंद्रमा और प्रेमियों का संबंध हर मौसम और हर काल में रहता है। ,अन्तःकरण के समय मूलतः दोस्तों की बारिश होती है।
Gate,गैट,बाग
industrial climate,औद्योगिक परिस्थिति,वित्तीय समुद्र
"They are rather surprised that a warner from among themselves has come to them. So the unbelievers say: ""This is astonishing:",लेकिन इन (काफिरों) को ताज्जुब है कि उन ही में एक (अज़ाब से) डराने वाला (पैग़म्बर) उनके पास आ गया तो कुफ्फ़ार कहने लगे ये तो एक अजीब बात है,उन्होंने यही कहा है कि इसके पास अपने समुदारे में एक बलिदानी आया है। तो ख़ौफ़ करनेवालों ने कहा है कि यह बड़ा चीख है
& Based on:,पर आधारित (& B): ,आधारितः
Electromagnetic radiation,विद्युतचुंबकीय विकिरण ,अणुकंपारी सूचना
(23) “Schedule” means a Schedule to this Constitution;,(23) ''अनुसूची'' से इस संविधान की अनुसूची अभिप्रेत है;,(23) अनुच्छेद संसद की परम्परा;
"Being held in the Asia-Pacific region for the first time, I consider it a great honour to be a part of this historic occasion.","पहली बार इसके एशिया प्रशांत क्षेत्र में आयोजित होने पर, मैं इस ऐतिहासिक अवसर का एक हिस्सा बनना महान सम्मान समझता हूं।","ऐसी पहली बार से यह एशिया-पूर्व क्षेत्र में आयोजित हुआ हैं, इसका उन्हें यहाँ भी एक अत्यधिक प्रसन्नता के रूप में देखा है।"
"He quickeneth and giveth death, and unto Him ye will be returned.",वही ज़िन्दा करता है और वही मारता है और तुम सब के सब उसी की तरफ लौटाए जाओगें,उसके प्रति तुम्हें बढ़ा होती है और निकट करने देती है और अपने सारे लोगों को जल्द ही इसके पास मिलेगें
"Verily Allah knoweth whatsoever thing they invoke beside Him. And He is the Mighty, the Wise.","निस्संदेह अल्लाह उन चीज़ों को भली-भाँति जानता है, जिन्हें ये उससे हटकर पुकारते है। वह तो अत्यन्त प्रभुत्वशाली, तत्वदर्शी है",और अल्लाह को उनकी पूजनेवाले सब कुछ जानता है। और यह बड़ा तथा आशंकित है
He flew around Mama Moo 's head as fast as he could.,वह कजरी गाय के सिर के चारों ओर जितनी तेजी से हो सकता था उड़ा। ,उसने मामलोम की ओर चलकर अपना सूचना पहुँचाने के लिए बड़ी तेजता से चला।
"At this time 563 to 482 BC came Gautama Buddha who protested against the ritualism of the masses and the asceticism of the higher classes, and most emphatically against racial prejudice and social discrimination.","ऐसे समय में 563 से 482 ई. पू. गौतम बुद्ध का आगमन हुआ, जिन्होंने आम जनता के कर्मकांडो और उच्च वर्ग की तपश्चर्या तथा स्पष्टतः जातीय पक्षपात और सामाजिक भेदभाव के विरूद्ध आवाज उठायी। ",इस समय 563-482 ईस्टीम के बाद गौतम बुद्ध जनजातियों का प्रतिरक्षण और अधिकारी शास्त्रीयता के बाद भी वह नेमिलन था और आगे भी एवं रसूल चीख
Hearing of this.,यह सुनकर गुरु हरगोबिन्द बहुत परेशान हुए। ,इसकी सुनाई।
The rack rent will increase the cost of commodity at destination.,अत्यधिक किराया/लगान की दर गंतव्य पर माल की कीमत बढा देगा। ,रेक्स की दर बिल्डग्राउंड में वस्तुओं का अनुमोदन होगा।
"I return to India convinced that India and Mauritius can further build on the existing multifaceted, mutually beneficial relationship.","मैं इस विश्वास के साथ भारत लौट रहा हूं कि भारत एवं मॉरिशस हमारे वर्तमान बहुआयामी, परस्पर रूप से लाभदायक संबंधों को और प्रगाढ़ कर सकते हैं।",मेरी भारत की पुकार है कि मेरी देश और मैरितस्को ने संबंध का अनुभव कर लिया है जिसमें बहुपद्धतियाँ एक-दूसरे के बीच सहयोगशीलता विश्वसनीयता औ
"(e) operating vocational training institute for hotel management, catering and food craft, entrepreneurship development, nursing and para-medical, civil aviation related training, fashion designing and industrial training;","(ड़) होटल प्रबंधन, खानपान और फूड क्राफ्ट, उद्यम विकास, परिचर्या और परा-चिकित्सा, नागर विमानन संबंधी प्रशिक्षण, फैशन डिजाइन और औद्योगिक प्रशिक्षण के लिए व्यवसायिक प्रशिक्षण संस्थान चलाना;","(क) रेस्तरांमेल के संचालन, आस्पत्रिक और भोजन पूंजी, अनुशासन-विद्या, निवासीय विकास, बी. ए. इंटरफ़ेस और फॉर्मेशन डिग्री, जोड़िया और"
Everybody,हर कोई,सभी
"I would also like to thank the management for inviting me to this Institute named after Sir M. Visvesvaraya, an eminent engineer, planner and statesman of our country.","मैं,हमारे देश के एक विख्यात इंजीनियर, योजनाकार तथा राजनेता सर एम.विश्वेश्वरैया के नाम पर रखे गए इस संस्थान में मुझे आमंत्रित करने के लिए प्रबंधन को धन्यवाद देता हूं।",मुझे इस संस्थान को सर्‍मी में विस्‍वेश्‍वरय द्वारा नामित अन्‍यत्‍त्र प्रदान किया गया हैं।
each one of the segments and there’s a,क्षेत्रों में से हर एक और है एक ,प्रत्येक बारिश और ऐसा है
Document Manager,दस्तावेज़ प्रबंधक,दस्तावेज मंजिर
_ Rename,नाम बदलें (_ R) ,नाम पुनर्निर्देशित करें (_ R)
Food aid coming in every year,भोजन की सहायता प्रतिवर्ष आ पहुँचती है,आत्म-संरक्षित कीमत
Places,स्थान @action: intoolbar Close right view,स्थान
This was the early origin of lex talionis' an eye for an eye and a tooth for a tooth '; this could also be said to be the point at which notions of crime and sin began to overlap.,‘खून के बदले खून’ की धारणा का मूल स्रोत यही था; यही वह समय था जब अपराध और पाप की धारणाओं ने एक-दूसरे को आच्छादित करना आरंभ कर दिया। ,"यह प्राचीन संस्करण का आधुनिक अभिवृत हो गया था, जिसके दौरान बात-बात में भी शख्सी और धम्म के बीच बारी बढ़ गई।"
The primary objective of the committee was to view corporate governance from the perspective of the investors and shareholders and to prepare a ‘Code 'to suit the Indian corporate environment.,समिति का प्राथमिक उद्देश्यल निवेशकों तथा शेयरधारकों के परिप्रेक्षय से नैगम शासन का अवलोकन करना तथा भारतीय नैगम माहौल के उपयुक्त एक 'संहिता' को तैयार करना है। ,समिति का प्रारम्भिक उद्देश्य विदेशी निवेशकों और बहुधारकों के आसन्नत्व की ओर अभिप्रेत करने और इसके लिए ‘कॉड’ गठित करने था।
More regular contacts between our people's representatives at official and non-official levels is the need of the hour.,सरकारी और अर्द्धसरकारी स्तरों पर हमारे लोगों के लोकप्रतिनिधयों के बीच और अधिक नियमित संपर्क होना समय की मांग है।,अपने सदस्यों की प्रशासनिक और अप्रशासनिक रूप में समझौता की बहुत ही आवश्यकता है।
The Union can override the States in national interest during emergencies.,आपात स्थितियों के दौरान संघ राष्ट्रीय हित में राज्यों के अधिकार क्षेत्र को लांघ सकता है. ,राष्ट्रीय संभावना के दौरान भागीदारी में शासित होता है।
Remote,दूरवर्ती,रेज़्मी
http://pranabmukherjee.nic.in/pr290716_01.html,http://pranabmukherjee.nic.in/prh290716_01.html,http://pranabmukherjee.nic.in/prh290716_01.html
Haven 't I read something about them today?,क्या आज मैंने इन के बारे में कुछ पढ़ा नहीं हैं? ,मैं आज कहीं उनके परिचय को पढ़ा हूँ?
There was priority indication on the file.,फाइल पर प्राथमिकता संकेत था। ,फ़ाइल पर कोई प्राथमिकता सूचना है।
RUNNING,कार्यशील,रॉकेट
secondary,आधीन,द्वितीय
What was originally planned as hermitage was becoming a cosmopolitan beehive.,जो पहले एक आश्रम सोचा गया था वहां अब एक शहरी मधुमक्खी का छत्ता बन रहा था. ,"जो पहले हीराम के रूप में नियत किया गया था, उसकी बदल आई हुई चन्द्रमाकाली भव्य संसारी शिवायगढ़ हो गई।"
"And when he cometh to know aught of Our revelations, he taketh it scoffingly. These! theirs shall be a torment ignominous;",और जब हमारी आयतों में से किसी आयत पर वाक़िफ़ हो जाता है तो उसकी हँसी उड़ाता है ऐसे ही लोगों के वास्ते ज़लील करने वाला अज़ाब है,और जब उसने हमारी पुकारों का अच्छा सिद्ध होगा तो वह इनको बेहलती में लौटाएँगे
All downloads finished,सभी डाउनलोड सम्पन्नName,सभी डाउनलोड पूर्ण हुए
Updating digital library with available contents,उपलब्ध् सामग्री के साथ डिजिटल पुस्तकालय अपडेट करना,अनुपलब्ध संस्‍थापित प्रश्‍़्तों की वर्गीकरण
We can never cease to learn from a Mahatma.,हम कभी भी महात्मा जी से सीख लेना नहीं छोड़ेंगे।,हम एक महात्मा की सूचना पर अपने बोलियों में न समाप्त करते हैं।
